"primera","segunda","tercera","day","moth","year"
"92","9","52","9","8","2021"
"92","9","52","8","8","2021"
"99","14","90","7","8","2021"
"55","29","70","6","8","2021"
"58","11","70","5","8","2021"
"97","52","4","4","8","2021"
"81","91","65","3","8","2021"
"63","7","44","2","8","2021"
"74","34","8","1","8","2021"
"51","8","28","31","7","2021"
"46","95","11","30","7","2021"
"5","69","37","29","7","2021"
"53","65","67","28","7","2021"
"92","71","69","27","7","2021"
"81","43","6","26","7","2021"
"54","36","72","25","7","2021"
"23","45","69","24","7","2021"
"2","50","93","23","7","2021"
"64","58","28","22","7","2021"
"6","96","80","21","7","2021"
"83","0","64","20","7","2021"
"1","95","75","19","7","2021"
"11","83","45","18","7","2021"
"19","72","43","17","7","2021"
"65","61","82","16","7","2021"
"11","32","11","15","7","2021"
"41","15","11","14","7","2021"
"11","24","39","13","7","2021"
"76","79","2","12","7","2021"
"53","35","76","11","7","2021"
"77","49","80","10","7","2021"
"54","31","57","9","7","2021"
"48","61","46","8","7","2021"
"47","52","10","7","7","2021"
"5","90","22","6","7","2021"
"87","46","86","5","7","2021"
"60","34","78","4","7","2021"
"66","32","65","3","7","2021"
"25","70","49","2","7","2021"
"86","93","7","1","7","2021"
"76","10","14","30","6","2021"
"90","17","20","29","6","2021"
"5","13","10","28","6","2021"
"25","7","1","27","6","2021"
"79","1","89","26","6","2021"
"86","59","27","25","6","2021"
"23","27","12","24","6","2021"
"97","60","9","23","6","2021"
"66","46","38","22","6","2021"
"92","37","87","21","6","2021"
"0","88","80","20","6","2021"
"58","85","43","19","6","2021"
"82","3","61","18","6","2021"
"78","65","21","17","6","2021"
"38","29","26","16","6","2021"
"84","14","89","15","6","2021"
"99","35","32","14","6","2021"
"67","24","21","13","6","2021"
"85","47","64","12","6","2021"
"85","47","64","11","6","2021"
"62","66","85","10","6","2021"
"93","92","41","9","6","2021"
"93","8","81","8","6","2021"
"52","58","18","7","6","2021"
"63","5","16","6","6","2021"
"63","5","16","5","6","2021"
"63","5","16","4","6","2021"
"92","21","38","3","6","2021"
"39","9","48","2","6","2021"
"91","5","92","1","6","2021"
"92","20","53","31","5","2021"
"55","20","33","30","5","2021"
"43","36","10","29","5","2021"
"98","81","91","28","5","2021"
"47","5","11","27","5","2021"
"35","7","64","26","5","2021"
"22","70","8","25","5","2021"
"79","80","88","24","5","2021"
"93","93","51","23","5","2021"
"95","25","25","22","5","2021"
"70","63","29","21","5","2021"
"86","25","95","20","5","2021"
"75","80","94","19","5","2021"
"83","90","58","18","5","2021"
"16","90","45","17","5","2021"
"26","71","19","16","5","2021"
"99","26","80","15","5","2021"
"63","8","37","14","5","2021"
"23","17","10","13","5","2021"
"65","96","53","12","5","2021"
"62","94","19","11","5","2021"
"27","49","89","10","5","2021"
"97","69","61","9","5","2021"
"78","0","44","8","5","2021"
"42","73","81","7","5","2021"
"19","17","66","6","5","2021"
"7","26","29","5","5","2021"
"39","37","10","4","5","2021"
"40","33","30","3","5","2021"
"66","24","73","2","5","2021"
"13","69","13","1","5","2021"
"81","78","52","30","4","2021"
"2","75","8","29","4","2021"
"29","84","4","28","4","2021"
"50","72","96","27","4","2021"
"69","86","26","26","4","2021"
"99","80","0","25","4","2021"
"68","46","66","24","4","2021"
"66","59","73","23","4","2021"
"95","83","63","22","4","2021"
"71","60","56","21","4","2021"
"35","55","23","20","4","2021"
"29","0","84","19","4","2021"
"25","83","2","18","4","2021"
"97","48","95","17","4","2021"
"84","95","81","16","4","2021"
"60","88","73","15","4","2021"
"15","92","46","14","4","2021"
"31","21","69","13","4","2021"
"22","56","12","12","4","2021"
"36","84","59","11","4","2021"
"2","60","98","10","4","2021"
"18","46","32","9","4","2021"
"5","56","33","8","4","2021"
"67","26","37","7","4","2021"
"87","92","2","6","4","2021"
"63","48","69","5","4","2021"
"80","19","9","4","4","2021"
"91","80","36","3","4","2021"
"91","80","36","2","4","2021"
"91","80","36","1","4","2021"
"91","80","36","31","3","2021"
"11","19","85","30","3","2021"
"23","42","33","29","3","2021"
"17","83","73","28","3","2021"
"63","45","11","27","3","2021"
"57","70","69","26","3","2021"
"49","2","8","25","3","2021"
"35","27","99","24","3","2021"
"60","50","81","23","3","2021"
"35","12","18","22","3","2021"
"97","53","33","21","3","2021"
"31","92","55","20","3","2021"
"37","11","13","19","3","2021"
"13","71","34","18","3","2021"
"34","56","61","17","3","2021"
"61","77","92","16","3","2021"
"22","62","60","15","3","2021"
"7","25","81","14","3","2021"
"47","64","98","13","3","2021"
"82","66","35","12","3","2021"
"63","37","94","11","3","2021"
"31","65","90","10","3","2021"
"6","56","58","9","3","2021"
"63","83","43","8","3","2021"
"16","5","33","7","3","2021"
"16","5","33","6","3","2021"
"15","53","49","5","3","2021"
"77","78","45","4","3","2021"
"30","97","36","3","3","2021"
"45","86","95","2","3","2021"
"14","1","77","1","3","2021"
"83","86","13","28","2","2021"
"83","86","13","27","2","2021"
"83","86","13","26","2","2021"
"66","42","5","25","2","2021"
"29","37","45","24","2","2021"
"63","42","49","23","2","2021"
"60","51","7","22","2","2021"
"79","98","6","21","2","2021"
"79","98","6","20","2","2021"
"27","76","20","19","2","2021"
"93","42","79","18","2","2021"
"70","40","48","17","2","2021"
"48","81","6","16","2","2021"
"46","21","31","15","2","2021"
"85","47","19","14","2","2021"
"85","47","19","13","2","2021"
"10","4","88","12","2","2021"
"93","53","71","11","2","2021"
"45","21","36","10","2","2021"
"95","48","32","9","2","2021"
"97","35","13","8","2","2021"
"46","83","34","7","2","2021"
"46","83","34","6","2","2021"
"6","59","78","5","2","2021"
"70","69","98","4","2","2021"
"41","30","78","3","2","2021"
"49","14","17","2","2","2021"
"67","76","41","1","2","2021"
"61","62","67","31","1","2021"
"61","62","67","30","1","2021"
"61","62","67","29","1","2021"
"48","35","71","28","1","2021"
"7","87","75","27","1","2021"
"17","49","29","26","1","2021"
"65","30","12","25","1","2021"
"46","2","17","24","1","2021"
"46","2","17","23","1","2021"
"46","2","17","22","1","2021"
"87","67","7","21","1","2021"
"87","67","7","20","1","2021"
"75","89","48","19","1","2021"
"79","80","38","18","1","2021"
"83","50","12","17","1","2021"
"83","50","12","16","1","2021"
"83","50","12","15","1","2021"
"15","89","10","14","1","2021"
"52","88","95","13","1","2021"
"13","95","64","12","1","2021"
"26","55","5","11","1","2021"
"95","73","62","10","1","2021"
"95","73","62","9","1","2021"
"95","73","62","8","1","2021"
"50","38","39","7","1","2021"
"96","17","6","6","1","2021"
"22","80","30","5","1","2021"
"32","85","29","4","1","2021"
"14","32","7","3","1","2021"
"14","32","7","2","1","2021"
"14","32","7","1","1","2021"
"14","32","7","31","12","2020"
"14","32","7","30","12","2020"
"70","69","17","29","12","2020"
"55","47","61","28","12","2020"
"79","74","80","27","12","2020"
"58","24","21","26","12","2020"
"50","39","97","25","12","2020"
"50","39","97","24","12","2020"
"50","39","97","23","12","2020"
"73","12","96","22","12","2020"
"8","93","56","21","12","2020"
"88","68","91","20","12","2020"
"53","29","89","19","12","2020"
"49","49","19","18","12","2020"
"38","58","18","17","12","2020"
"91","19","23","16","12","2020"
"26","25","29","15","12","2020"
"26","76","98","14","12","2020"
"14","60","18","13","12","2020"
"2","94","71","12","12","2020"
"14","68","2","11","12","2020"
"85","54","61","10","12","2020"
"45","54","43","9","12","2020"
"86","77","51","8","12","2020"
"12","12","49","7","12","2020"
"20","7","43","6","12","2020"
"51","88","56","5","12","2020"
"7","62","1","4","12","2020"
"12","10","54","3","12","2020"
"30","64","1","2","12","2020"
"11","35","13","1","12","2020"
"36","61","37","30","11","2020"
"53","46","71","29","11","2020"
"17","4","11","28","11","2020"
"66","40","68","27","11","2020"
"81","98","84","26","11","2020"
"12","57","64","25","11","2020"
"75","73","92","24","11","2020"
"43","90","0","23","11","2020"
"18","40","23","22","11","2020"
"64","0","36","21","11","2020"
"92","35","56","20","11","2020"
"85","44","76","19","11","2020"
"96","95","83","18","11","2020"
"78","25","37","17","11","2020"
"85","75","1","16","11","2020"
"1","33","87","15","11","2020"
"75","94","20","14","11","2020"
"19","13","37","13","11","2020"
"90","88","46","12","11","2020"
"7","43","28","11","11","2020"
"77","69","46","10","11","2020"
"74","68","42","9","11","2020"
"11","28","44","8","11","2020"
"65","72","0","7","11","2020"
"93","70","82","6","11","2020"
"33","55","19","5","11","2020"
"79","57","52","4","11","2020"
"74","11","81","3","11","2020"
"86","91","31","2","11","2020"
"47","69","14","1","11","2020"
"44","47","9","31","10","2020"
"87","32","14","30","10","2020"
"20","3","75","29","10","2020"
"15","6","86","28","10","2020"
"45","7","23","27","10","2020"
"73","91","91","26","10","2020"
"12","53","99","25","10","2020"
"45","60","42","24","10","2020"
"24","1","17","23","10","2020"
"4","58","51","22","10","2020"
"29","16","94","21","10","2020"
"47","98","56","20","10","2020"
"53","53","50","19","10","2020"
"38","86","8","18","10","2020"
"43","40","22","17","10","2020"
"74","79","92","16","10","2020"
"17","48","46","15","10","2020"
"89","5","39","14","10","2020"
"41","86","41","13","10","2020"
"45","55","51","12","10","2020"
"42","91","80","11","10","2020"
"14","43","57","10","10","2020"
"49","24","4","9","10","2020"
